,season,week,winner,w_rank,w_pts,home_away,loser,l_rank,l_pts
0,1989,1,Notre Dame,2,36,,Virginia,,13
1,1989,1,Air Force,,52,,San Diego State,,36
2,1989,1,Arizona,18,19,,Stanford,,3
3,1989,1,Brigham Young,19,24,@,New Mexico,,3
4,1989,1,Clemson,12,30,,Furman,,0
5,1989,1,Eastern Michigan,,30,,Kent State,,7
6,1989,1,Fresno State,,52,,Utah,,22
7,1989,1,Hawaii,,31,,Tulane,,26
8,1989,1,Houston,21,69,@,Nevada-Las Vegas,,0
9,1989,1,Kansas,,41,,Montana State,,17
10,1989,1,Long Beach State,,28,,Cal State Northridge,,9
11,1989,1,Louisiana Tech,,40,@,Louisiana,,14
12,1989,1,Louisville,,28,@,Wyoming,,21
13,1989,1,Mississippi,,20,@,Memphis,,13
14,1989,1,Mississippi State,,42,,Vanderbilt,,7
15,1989,1,North Carolina State,24,10,,Maryland,,6
16,1989,1,Northern Illinois,,26,,Cal State Fullerton,,17
17,1989,1,Oklahoma,15,73,,New Mexico State,,3
18,1989,1,Pittsburgh,20,38,,Pacific,,3
19,1989,1,Rice,,35,@,Southern Methodist,,6
20,1989,1,Rutgers,,17,@,Cincinnati,,17
21,1989,1,South Carolina,,27,,Duke,,21
22,1989,1,Southern Mississippi,,30,,Florida State,6,26
23,1989,1,Tennessee,,17,,Colorado State,,14
24,1989,1,Texas A&M,,28,,Louisiana State,7,16
25,1989,1,Toledo,,27,,Ohio,,18
26,1989,1,Tulsa,,23,@,Texas-El Paso,,14
27,1989,1,Virginia Tech,,29,,Akron,,3
28,1989,1,Washington State,,41,,Idaho,,7
29,1989,1,West Virginia,17,35,,Ball State,,10
30,1989,1,Western Michigan,,31,,Temple,,24
31,1989,1,Colorado,14,27,,Texas,,6
32,1989,1,Illinois,22,14,@,Southern California,5,13
33,1989,2,Washington State,,46,@,Brigham Young,24,41
34,1989,2,Akron,,40,,Kent State,,7
35,1989,2,Appalachian State,,15,@,Wake Forest,,10
36,1989,2,Arizona State,,31,,Kansas State,,0
37,1989,2,Arkansas State,,17,@,Memphis,,13
38,1989,2,Auburn,5,55,,Pacific,,0
39,1989,2,Ball State,,31,@,Rutgers,,31
40,1989,2,Cal State Fullerton,,27,,Cal State Northridge,,20
41,1989,2,Clemson,10,34,@,Florida State,16,23
42,1989,2,Colorado,9,45,,Colorado State,,20
43,1989,2,Duke,,41,,Northwestern,,31
44,1989,2,East Carolina,,41,,Bowling Green State,,6
45,1989,2,Eastern Michigan,,14,,Youngstown State,,3
46,1989,2,Fresno State,,52,,Montana,,37
47,1989,2,Hawaii,,63,,Long Beach State,,10
48,1989,2,Iowa State,,28,,Ohio,,3
49,1989,2,Kentucky,,17,,Indiana,,14
50,1989,2,Lamar,,21,@,Texas-El Paso,,19
51,1989,2,Louisiana,,22,,Central Michigan,,20
52,1989,2,Louisville,,33,@,Kansas,,28
53,1989,2,Miami (FL),3,51,@,Wisconsin,,3
54,1989,2,Mississippi,,24,@,Florida,,19
55,1989,2,Mississippi State,,26,@,Southern Mississippi,18,23
56,1989,2,Missouri,,14,,Texas Christian,,10
57,1989,2,Nebraska,4,48,,Northern Illinois,,17
58,1989,2,Nevada-Las Vegas,,16,,Weber State,,12
59,1989,2,New Mexico,,45,,New Mexico State,,13
