,season,week,winner,w_rank,w_pts,home_away,loser,l_rank,l_pts
0,1989,1,Notre Dame,2,36,,Virginia,1000,13
1,1989,1,Arizona,18,19,,Stanford,1000,3
2,1989,1,Brigham Young,19,24,@,New Mexico,1000,3
3,1989,1,Clemson,12,30,,Furman,1000,0
4,1989,1,Houston,21,69,@,Nevada-Las Vegas,1000,0
5,1989,1,North Carolina State,24,10,,Maryland,1000,6
6,1989,1,Oklahoma,15,73,,New Mexico State,1000,3
7,1989,1,Pittsburgh,20,38,,Pacific,1000,3
8,1989,1,Southern Mississippi,1000,30,,Florida State,6,26
9,1989,1,Texas A&M,1000,28,,Louisiana State,7,16
10,1989,1,West Virginia,17,35,,Ball State,1000,10
11,1989,1,Colorado,14,27,,Texas,1000,6
12,1989,1,Illinois,22,14,@,Southern California,5,13
13,1989,2,Washington State,1000,46,@,Brigham Young,24,41
14,1989,2,Auburn,5,55,,Pacific,1000,0
15,1989,2,Clemson,10,34,@,Florida State,16,23
16,1989,2,Colorado,9,45,,Colorado State,1000,20
17,1989,2,Miami (FL),3,51,@,Wisconsin,1000,3
18,1989,2,Mississippi State,1000,26,@,Southern Mississippi,18,23
19,1989,2,Nebraska,4,48,,Northern Illinois,1000,17
20,1989,2,North Carolina State,25,38,,Georgia Tech,1000,28
21,1989,2,Oklahoma,8,33,,Baylor,1000,7
22,1989,2,Pittsburgh,23,29,@,Boston College,1000,10
23,1989,2,Syracuse,14,43,@,Temple,1000,3
24,1989,2,Tennessee,1000,24,@,UCLA,6,6
25,1989,2,Texas Tech,1000,24,,Arizona,20,14
26,1989,2,Virginia,1000,14,@,Penn State,12,6
27,1989,2,Washington,1000,19,,Texas A&M,15,6
28,1989,2,West Virginia,17,14,@,Maryland,1000,10
29,1989,3,Alabama,16,35,,Memphis,1000,7
30,1989,3,Arizona,1000,6,,Oklahoma,6,3
31,1989,3,Arkansas,9,26,,Tulsa,1000,7
32,1989,3,Auburn,5,24,,Southern Mississippi,1000,3
33,1989,3,Clemson,7,27,@,Virginia Tech,1000,7
34,1989,3,Colorado,8,38,,Illinois,10,7
35,1989,3,Florida State,1000,31,@,Louisiana State,21,21
36,1989,3,Miami (FL),3,31,,California,1000,3
37,1989,3,Nebraska,4,42,,Utah,1000,30
38,1989,3,North Carolina State,19,27,@,Wake Forest,1000,17
39,1989,3,Notre Dame,1,24,@,Michigan,2,19
40,1989,3,Oregon,1000,44,@,Iowa,24,6
41,1989,3,Southern California,13,66,,Utah State,1000,10
42,1989,3,Syracuse,11,10,,Army,1000,7
43,1989,3,Tennessee,17,28,,Duke,1000,6
44,1989,3,Texas A&M,22,44,@,Texas Christian,1000,7
45,1989,3,UCLA,20,28,@,San Diego State,1000,25
46,1989,3,Washington,15,38,,Purdue,1000,9
47,1989,3,Washington State,23,41,,Oregon State,1000,3
48,1989,3,West Virginia,12,45,,South Carolina,1000,21
49,1989,4,Alabama,15,15,,Kentucky,1000,3
50,1989,4,Arizona,23,20,,Washington,11,17
51,1989,4,Arkansas,8,24,@,Mississippi,1000,17
52,1989,4,Clemson,7,31,,Maryland,1000,7
53,1989,4,Houston,17,36,@,Arizona State,1000,7
54,1989,4,Illinois,20,41,,Utah State,1000,2
55,1989,4,Miami (FL),2,38,@,Missouri,1000,7
56,1989,4,Michigan,5,24,@,UCLA,24,23
57,1989,4,Nebraska,3,48,@,Minnesota,1000,0
58,1989,4,North Carolina State,18,40,,North Carolina,1000,6
59,1989,4,Notre Dame,1,21,,Michigan State,1000,13
60,1989,4,Pittsburgh,13,30,,Syracuse,10,23
61,1989,4,Southern California,12,42,,Ohio State,25,3
62,1989,4,Stanford,1000,18,,Oregon,22,17
63,1989,4,Washington State,19,29,@,Wyoming,1000,23
64,1989,4,West Virginia,9,30,@,Louisville,1000,21
65,1989,5,Air Force,24,46,@,Colorado State,1000,21
66,1989,5,Alabama,13,20,@,Vanderbilt,1000,14
67,1989,5,Arkansas,8,39,,Texas-El Paso,1000,7
68,1989,5,Colorado,5,45,@,Washington,21,28
69,1989,5,Duke,1000,21,,Clemson,7,17
70,1989,5,Houston,14,65,,Temple,1000,7
71,1989,5,Miami (FL),2,26,@,Michigan State,1000,20
72,1989,5,Michigan,6,41,,Maryland,1000,21
73,1989,5,Nebraska,3,35,,Oregon State,1000,7
74,1989,5,North Carolina State,15,42,,Kent State,1000,22
75,1989,5,Notre Dame,1,40,@,Purdue,1000,7
76,1989,5,Oklahoma,16,45,@,Kansas,1000,6
77,1989,5,Oregon,1000,16,,Arizona,17,10
79,1989,5,South Carolina,1000,24,@,Georgia,23,20
80,1989,5,Southern California,11,18,@,Washington State,19,17
81,1989,5,Tennessee,12,21,,Auburn,4,14
82,1989,5,Texas A&M,22,31,,Southern Mississippi,1000,14
83,1989,6,Air Force,20,35,@,Navy,1000,7
84,1989,6,Alabama,13,62,@,Mississippi,1000,27
85,1989,6,Arkansas,7,41,@,Texas Christian,1000,19
86,1989,6,Auburn,11,24,@,Kentucky,1000,12
87,1989,6,Clemson,15,34,,Virginia,1000,20
88,1989,6,Colorado,3,49,,Missouri,1000,3
89,1989,6,Florida State,22,41,@,Syracuse,17,10
90,1989,6,Houston,12,66,,Baylor,1000,10
91,1989,6,Illinois,18,34,,Ohio State,1000,14
92,1989,6,Miami (FL),2,56,,Cincinnati,1000,0
93,1989,6,Michigan,5,24,,Wisconsin,1000,0
94,1989,6,Michigan State,24,17,@,Iowa,1000,14
95,1989,6,Nebraska,4,58,,Kansas State,1000,7
96,1989,6,North Carolina State,14,35,,Middle Tennessee State,1000,14
97,1989,6,Notre Dame,1,27,@,Stanford,1000,17
98,1989,6,Oklahoma,16,37,,Oklahoma State,1000,15
99,1989,6,Pittsburgh,8,27,@,Temple,1000,3
100,1989,6,Southern California,9,24,,Washington,1000,16
101,1989,6,Tennessee,6,17,,Georgia,1000,14
102,1989,6,Texas Tech,1000,27,,Texas A&M,19,24
103,1989,6,UCLA,25,33,,Arizona State,1000,14
104,1989,6,Virginia Tech,1000,12,@,West Virginia,9,10
105,1989,6,Washington State,21,51,@,Oregon,23,38
106,1989,7,Alabama,11,24,,Louisiana,1000,17
107,1989,7,Arizona,1000,42,,UCLA,22,7
108,1989,7,Arkansas,7,45,@,Texas Tech,1000,13
109,1989,7,Auburn,12,10,,Louisiana State,1000,6
110,1989,7,Brigham Young,25,45,@,Colorado State,1000,16
111,1989,7,Colorado,3,52,@,Iowa State,1000,17
112,1989,7,Florida,25,34,,Vanderbilt,1000,11
113,1989,7,Florida State,19,41,@,Virginia Tech,1000,7
114,1989,7,Georgia Tech,1000,30,@,Clemson,14,14
115,1989,7,Illinois,16,14,@,Purdue,1000,2
116,1989,7,Miami (FL),2,48,,San Jose State,1000,16
117,1989,7,Michigan,5,10,@,Michigan State,21,7
118,1989,7,Nebraska,4,50,@,Missouri,1000,7
119,1989,7,Notre Dame,1,41,@,Air Force,17,27
120,1989,7,Penn State,23,34,@,Syracuse,1000,12
121,1989,7,Pittsburgh,9,31,,Navy,1000,14
122,1989,7,Southern California,10,31,@,California,1000,15
123,1989,7,Texas,1000,28,,Oklahoma,15,24
124,1989,7,Texas A&M,1000,17,,Houston,8,13
125,1989,7,Washington State,17,31,,Stanford,1000,13
126,1989,8,Alabama,10,47,,Tennessee,6,30
127,1989,8,Arizona,22,23,@,Washington State,15,21
128,1989,8,Brigham Young,21,49,,Texas-El Paso,1000,24
129,1989,8,Clemson,1000,30,,North Carolina State,12,10
130,1989,8,Colorado,3,49,,Kansas,1000,17
131,1989,8,Florida,20,27,,New Mexico,1000,21
132,1989,8,Florida State,14,22,,Auburn,11,14
133,1989,8,Houston,16,95,,Southern Methodist,1000,21
134,1989,8,Illinois,13,14,@,Michigan State,1000,10
135,1989,8,Michigan,5,26,@,Iowa,1000,12
136,1989,8,Nebraska,4,48,@,Oklahoma State,1000,23
137,1989,8,Notre Dame,1,28,,Southern California,9,24
138,1989,8,Oklahoma,25,43,@,Iowa State,1000,40
139,1989,8,South Carolina,24,24,,Western Carolina,1000,3
140,1989,8,Texas,1000,24,@,Arkansas,7,20
141,1989,8,Texas A&M,23,14,@,Baylor,1000,11
142,1989,8,Texas Christian,1000,27,,Air Force,19,9
143,1989,8,West Virginia,18,69,,Cincinnati,1000,3
144,1989,9,Alabama,6,17,@,Penn State,14,16
145,1989,9,Arizona,17,38,,Pacific,1000,14
146,1989,9,Arizona State,1000,44,,Washington State,23,39
147,1989,9,Arkansas,13,45,,Houston,12,39
148,1989,9,Auburn,16,14,,Mississippi State,1000,0
149,1989,9,Clemson,22,44,,Wake Forest,1000,10
150,1989,9,Colorado,3,20,@,Oklahoma,1000,3
151,1989,9,Florida State,9,24,,Miami (FL),2,10
152,1989,9,Hawaii,1000,56,,Brigham Young,18,14
153,1989,9,Illinois,8,32,,Wisconsin,1000,9
154,1989,9,Michigan,5,38,,Indiana,1000,10
155,1989,9,Nebraska,4,49,,Iowa State,1000,17
156,1989,9,North Carolina State,20,20,@,South Carolina,25,10
157,1989,9,Notre Dame,1,45,,Pittsburgh,7,7
158,1989,9,Southern California,10,19,,Stanford,1000,0
159,1989,9,Tennessee,11,45,@,Louisiana State,1000,39
160,1989,9,Texas A&M,21,45,@,Rice,1000,7
161,1989,9,West Virginia,15,44,@,Boston College,1000,30
162,1989,10,Alabama,5,23,,Mississippi State,1000,10
163,1989,10,Arkansas,11,38,@,Rice,1000,17
164,1989,10,Auburn,12,10,,Florida,19,7
165,1989,10,Brigham Young,23,45,,Oregon,1000,41
166,1989,10,California,1000,29,,Arizona,15,28
167,1989,10,Clemson,21,35,@,North Carolina,1000,3
168,1989,10,Colorado,2,27,,Nebraska,3,21
169,1989,10,Florida State,6,35,,South Carolina,1000,10
170,1989,10,Fresno State,25,31,,San Jose State,1000,30
171,1989,10,Houston,17,55,@,Texas Christian,1000,10
172,1989,10,Illinois,8,31,@,Iowa,1000,7
173,1989,10,Miami (FL),7,40,,East Carolina,1000,10
174,1989,10,Michigan,4,42,,Purdue,1000,27
175,1989,10,Notre Dame,1,41,,Navy,1000,0
176,1989,10,Penn State,16,19,,West Virginia,13,9
177,1989,10,Southern California,9,48,,Oregon State,1000,6
178,1989,10,Texas A&M,20,63,,Southern Methodist,1000,14
179,1989,10,Texas Tech,1000,24,@,Texas,22,17
180,1989,10,Virginia,24,20,@,North Carolina State,18,9
181,1989,11,Alabama,4,32,@,Louisiana State,1000,16
182,1989,11,Arkansas,10,19,,Baylor,1000,10
183,1989,11,Auburn,12,38,,Louisiana Tech,1000,23
184,1989,11,Brigham Young,21,44,,Air Force,1000,35
185,1989,11,Colorado,2,41,@,Oklahoma State,1000,17
186,1989,11,Duke,1000,35,,North Carolina State,22,26
187,1989,11,Fresno State,24,45,@,New Mexico State,1000,5
188,1989,11,Georgia,1000,17,,Florida,20,10
189,1989,11,Houston,15,47,,Texas,1000,9
190,1989,11,Miami (FL),7,24,@,Pittsburgh,14,3
191,1989,11,Michigan,3,24,@,Illinois,8,10
192,1989,11,Nebraska,6,51,,Kansas,1000,14
193,1989,11,Notre Dame,1,59,,Southern Methodist,1000,6
195,1989,11,Southern California,9,24,@,Arizona,25,3
196,1989,11,Tennessee,11,52,,Akron,1000,9
197,1989,11,Texas Tech,23,37,,Texas Christian,1000,7
198,1989,11,Virginia,18,32,,Virginia Tech,1000,25
199,1989,11,West Virginia,19,21,,Rutgers,1000,20
200,1989,12,Alabama,4,37,,Southern Mississippi,1000,14
201,1989,12,Auburn,11,20,@,Georgia,1000,3
202,1989,12,Brigham Young,21,70,,Utah,1000,31
203,1989,12,Clemson,15,45,@,South Carolina,1000,0
204,1989,12,Colorado,2,59,@,Kansas State,1000,11
205,1989,12,Duke,25,41,@,North Carolina,1000,0
206,1989,12,Florida State,5,57,,Memphis,1000,20
207,1989,12,Illinois,12,41,,Indiana,1000,28
208,1989,12,Miami (FL),7,42,,San Diego State,1000,6
209,1989,12,Michigan,3,49,@,Minnesota,1000,15
210,1989,12,Nebraska,6,42,,Oklahoma,1000,25
